username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2014/06/24;635;491;"“The only way to do great work is to love what you do. If you haven’t found it yet, keep looking. Don’t settle.” – Steve Jobs";;;;"481532476175949825";https://twitter.com/realDonaldTrump/status/481532476175949825
;2014/06/24;63;79;"" @AStock1058 looking to open my own businesses. Any advice you can give on that subject?" Find something you love doing--& never give up!";;@AStock1058;;"481522567350857728";https://twitter.com/realDonaldTrump/status/481522567350857728
;2014/06/24;168;149;"Another cover-up. Obama won’t disclose how many illegal immigrants he has released into our country http://yhoo.it/1peBAlU  No surprise.";;;;"481512106886709248";https://twitter.com/realDonaldTrump/status/481512106886709248
;2014/06/24;51;82;"The 9.11.12 attack on the Benghazi consulate was a sophisticated, multi-prong wave attack. When will all the 50+ fighters face justice?";;;;"481491698607202304";https://twitter.com/realDonaldTrump/status/481491698607202304
;2014/06/24;178;172;"The Benghazi terrorist is getting speedier care than our Vets at the VA. Obama has his priorities.";;;;"481490652031897600";https://twitter.com/realDonaldTrump/status/481490652031897600
;2014/06/24;145;103;"A @senatormcdaniel win is a victory for our country. Chris is a Constitutional Conservative who'll make a difference in Washington.";;@senatormcdaniel;;"481476418879365121";https://twitter.com/realDonaldTrump/status/481476418879365121
;2014/06/24;994;1018;"I am the only potential owner of the @buffalobills who will keep the team in Buffalo, where it belongs!";;@buffalobills;;"481472266598109184";https://twitter.com/realDonaldTrump/status/481472266598109184
;2014/06/24;15;31;"" @brendakenesonwe @NYDailyNews: I've done hair since I was 14, that's real not a rug!" True, thanks (but they know it--dishonest press)";;@brendakenesonwe @NYDailyNews;;"481445568469016576";https://twitter.com/realDonaldTrump/status/481445568469016576
;2014/06/24;17;48;"" @BlutoGrandex Know how u can tell Trump is successful? Almost half the accounts he follows are businesses w/ his name in them" Interesting!";;@BlutoGrandex;;"481441744241045504";https://twitter.com/realDonaldTrump/status/481441744241045504
;2014/06/24;11;18;"" @BirdieFireGolf @TrumpGolfDC for hosting this special event for charities benefiting our brave men ... http://tmi.me/1et1VJ " My honor!";;@BirdieFireGolf @TrumpGolfDC;;"481437480449998848";https://twitter.com/realDonaldTrump/status/481437480449998848
;2014/06/24;177;174;"I hope voters in Mississippi cast their ballot for @senatormcdaniel. He is strong, he is smart & he wants things to change in Washington.";;@senatormcdaniel;;"481433833515253760";https://twitter.com/realDonaldTrump/status/481433833515253760
;2014/06/24;16;29;"Great going @themichellewie –you showed the world that all of that amazing talent is for real. We love you at Trump Jupiter @TNGCJ";;@themichellewie @TNGCJ;;"481433227341869056";https://twitter.com/realDonaldTrump/status/481433227341869056
;2014/06/24;12;17;""@AziziJoe_7: @realDonaldTrump go for it Sir!!!" Just watch!";;@AziziJoe_7 @realDonaldTrump;;"481411934168690689";https://twitter.com/realDonaldTrump/status/481411934168690689
;2014/06/24;63;72;"" @SoyerJanis: DonaldTrump @InTheElections @NYDailyNews Please don't mess with us again, please run & don't change your mind. We need you"";;@SoyerJanis @InTheElections @NYDailyNews;;"481411854489513986";https://twitter.com/realDonaldTrump/status/481411854489513986
;2014/06/24;20;34;"" @InTheElections: @TheRealHOodRept @realDonaldTrump The Obama administration is the American disaster, TRUMP 2016 is the solution." So true!";;@InTheElections @TheRealHOodRept @realDonaldTrump;;"481411215357263872";https://twitter.com/realDonaldTrump/status/481411215357263872
;2014/06/24;8;10;"" @KevinHite: @realDonaldTrump Im sure u will never read but totally agree w u re: Seth Meyer. Terrible & feel embarrassed for him. Awkward!";;@KevinHite @realDonaldTrump;;"481392210475089920";https://twitter.com/realDonaldTrump/status/481392210475089920
;2014/06/24;19;32;"" @InTheElections: @NYDailyNews It seems democrats are incapable of honesty, especially where you are concerned, afraid of you. TRUMP 2016!"";;@InTheElections @NYDailyNews;;"481391620999241728";https://twitter.com/realDonaldTrump/status/481391620999241728
;2014/06/24;17;23;"" @SoyerJanis: @gretawire I wish @realDonaldTrump would run 4 President, we NEED HIM! if he cares enough about this Country he will run."";;@SoyerJanis @gretawire @realDonaldTrump;;"481390316604256256";https://twitter.com/realDonaldTrump/status/481390316604256256
;2014/06/23;50;112;"" @dexcaliber: I have to confess, I think the Mr. Trump would have been a much better President then this fool we hav in office now."";;@dexcaliber;;"481255951370944512";https://twitter.com/realDonaldTrump/status/481255951370944512
;2014/06/23;32;48;"" @DonCaasi: " @realDonaldTrump: Always make a total effort, even when the odds are against you. -- Arnold Palmer @KingdomMag""";;@DonCaasi @realDonaldTrump @KingdomMag;;"481255541293867009";https://twitter.com/realDonaldTrump/status/481255541293867009
